PG.ProteinAccessions	PG.Genes	[1] 1766_HL_1_27_DIA_20251206105239.raw.PG.MS2Channel1	[2] 1765_HL_1_27_DIA_20251206090257.raw.PG.MS2Channel1	[3] 1764_HL_1_27_DIA_20251206071310.raw.PG.MS2Channel1	[4] 1784_HL_27_1_DIA.raw.PG.MS2Channel1	[5] 1783_HL_27_1_DIA.raw.PG.MS2Channel1	[6] 1782_HL_27_1_DIA.raw.PG.MS2Channel1	[7] 1781_HL_9_1_DIA.raw.PG.MS2Channel1	[8] 1780_HL_9_1_DIA.raw.PG.MS2Channel1	[9] 1779_HL_9_1_DIA.raw.PG.MS2Channel1	[10] 1778_HL_3_1_DIA.raw.PG.MS2Channel1	[11] 1777_HL_3_1_DIA.raw.PG.MS2Channel1	[12] 1776_HL_3_1_DIA.raw.PG.MS2Channel1	[13] 1775_HL_1_1_DIA.raw.PG.MS2Channel1	[14] 1774_HL_1_1_DIA.raw.PG.MS2Channel1	[15] 1773_HL_1_1_DIA.raw.PG.MS2Channel1	[16] 1772_HL_1_3_DIA.raw.PG.MS2Channel1	[17] 1771_HL_1_3_DIA.raw.PG.MS2Channel1	[18] 1770_HL_1_3_DIA.raw.PG.MS2Channel1	[19] 1769_HL_1_9_DIA.raw.PG.MS2Channel1	[20] 1768_HL_1_9_DIA.raw.PG.MS2Channel1	[21] 1767_HL_1_9_DIA_20251204151519.raw.PG.MS2Channel1	[1] 1766_HL_1_27_DIA_20251206105239.raw.PG.MS2Channel2	[2] 1765_HL_1_27_DIA_20251206090257.raw.PG.MS2Channel2	[3] 1764_HL_1_27_DIA_20251206071310.raw.PG.MS2Channel2	[4] 1784_HL_27_1_DIA.raw.PG.MS2Channel2	[5] 1783_HL_27_1_DIA.raw.PG.MS2Channel2	[6] 1782_HL_27_1_DIA.raw.PG.MS2Channel2	[7] 1781_HL_9_1_DIA.raw.PG.MS2Channel2	[8] 1780_HL_9_1_DIA.raw.PG.MS2Channel2	[9] 1779_HL_9_1_DIA.raw.PG.MS2Channel2	[10] 1778_HL_3_1_DIA.raw.PG.MS2Channel2	[11] 1777_HL_3_1_DIA.raw.PG.MS2Channel2	[12] 1776_HL_3_1_DIA.raw.PG.MS2Channel2	[13] 1775_HL_1_1_DIA.raw.PG.MS2Channel2	[14] 1774_HL_1_1_DIA.raw.PG.MS2Channel2	[15] 1773_HL_1_1_DIA.raw.PG.MS2Channel2	[16] 1772_HL_1_3_DIA.raw.PG.MS2Channel2	[17] 1771_HL_1_3_DIA.raw.PG.MS2Channel2	[18] 1770_HL_1_3_DIA.raw.PG.MS2Channel2	[19] 1769_HL_1_9_DIA.raw.PG.MS2Channel2	[20] 1768_HL_1_9_DIA.raw.PG.MS2Channel2	[21] 1767_HL_1_9_DIA_20251204151519.raw.PG.MS2Channel2
A0A024QZW4;Q9H1N7	SLC35B3	1059.536376953125	1035.0362548828125	1225.5726318359375	119.6712417602539	67.60857391357422	77.28072357177734	137.3998260498047	133.84629821777344	154.201171875	375.986572265625	390.6153564453125	266.644775390625	506.9391784667969	714.7315673828125	623.0018920898438	1052.5234375	929.1541748046875	1137.4329833984375	1187.274658203125	1193.019775390625	1182.7554931640625	41.7372932434082	6.303156852722168	NaN	741.0419921875	989.0986328125	857.15478515625	999.74560546875	857.8810424804688	955.7508544921875	787.49560546875	706.228271484375	755.8076782226562	514.5469970703125	458.9639892578125	553.1036376953125	217.9504852294922	205.5926055908203	173.29205322265625	89.75275421142578	49.40753936767578	100.87017059326172
A0A024R0Y4	TADA2A	1290.83251953125	1401.6055908203125	1122.7027587890625	90.38894653320312	59.87239074707031	35.535430908203125	141.78309631347656	257.28717041015625	117.599853515625	382.2193908691406	316.1571044921875	292.8999938964844	765.1304931640625	776.9644165039062	667.5162353515625	1187.32861328125	878.7310180664062	1175.233642578125	1140.6407470703125	1205.517822265625	1388.892822265625	79.7874755859375	32.13151550292969	70.07266998291016	1546.8280029296875	1491.656005859375	708.2822875976562	1467.9423828125	1429.93505859375	1193.5267333984375	1174.2490234375	1342.37646484375	964.4542236328125	818.2352905273438	980.0696411132812	704.5930786132812	311.541259765625	338.718505859375	455.4242858886719	141.2412872314453	134.49783325195312	119.47891998291016
A0A024R1R8;Q9Y2S6	TMA7B;TMA7	6421.740234375	5852.62255859375	7321.513671875	211.3393096923828	521.7066650390625	736.186279296875	1257.3060302734375	1615.466064453125	624.9456787109375	1375.7503662109375	860.051513671875	923.6438598632812	2118.296875	1870.275634765625	2763.464111328125	10339.615234375	6412.89404296875	9734.1796875	13298.970703125	12241.46875	11855.1337890625	233.05856323242188	403.8741455078125	150.31866455078125	6179.9892578125	7052.20458984375	10014.0966796875	9241.99609375	9699.669921875	6875.61767578125	4459.40673828125	2375.878173828125	3286.58056640625	1587.64697265625	1983.4326171875	2770.45068359375	3451.4814453125	2280.692138671875	2985.365966796875	1196.2701416015625	1359.322265625	1685.5533447265625
A0A024R3Z1	MAP2	2975.466796875	2999.6103515625	3211.796630859375	150.48291015625	121.19579315185547	131.82704162597656	237.9747772216797	409.2587890625	269.7582702636719	1006.21240234375	1082.499267578125	1048.96923828125	2175.978515625	2504.937255859375	2072.1611328125	2398.271484375	2508.277587890625	2673.471923828125	3161.220458984375	3099.810546875	3225.799560546875	107.32842254638672	238.60809326171875	164.7977752685547	3262.265869140625	2812.96142578125	3070.794189453125	2502.0390625	2621.927734375	3025.03271484375	1870.4942626953125	2167.421630859375	2565.294921875	1330.533935546875	972.8070678710938	1408.8125	701.8658447265625	629.4560546875	792.2183227539062	309.7320556640625	270.1317138671875	274.79339599609375
A0A024R4E5;Q00341	HDLBP	46389.7265625	41576.3984375	48700.1171875	2500.677978515625	2719.85009765625	2812.566650390625	5451.95703125	5161.0595703125	5687.9921875	11223.296875	12133.4931640625	11885.6962890625	21543.650390625	20927.49609375	21441.1640625	30099.666015625	28711.935546875	32431.109375	35688.046875	35572.0703125	35169.38671875	2257.3935546875	2192.52294921875	2464.848876953125	44029.31640625	44250.640625	46029.7109375	38699.8671875	38241.57421875	39488.3984375	31010.03515625	31745.923828125	31288.71484375	22353.013671875	21229.923828125	20802.126953125	10585.8447265625	10348.78125	10351.455078125	4407.5556640625	4769.4951171875	4520.2705078125
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	1365.181884765625	1179.005615234375	1349.91650390625	24.584447860717773	72.68548583984375	13.717540740966797	94.48284912109375	185.80349731445312	98.79203796386719	306.3264465332031	289.89495849609375	207.8721466064453	565.2926025390625	603.953857421875	612.674072265625	791.7700805664062	974.0582275390625	896.7536010742188	1016.8817138671875	989.1375122070312	1126.9110107421875	41.727195739746094	29.1983699798584	46.65916442871094	1366.651123046875	1213.0926513671875	1086.1927490234375	1315.861572265625	1161.3876953125	1256.4896240234375	964.4315795898438	937.1516723632812	912.4617309570312	688.1205444335938	706.2642822265625	577.9381103515625	249.6598663330078	288.6349792480469	311.11376953125	56.7795524597168	NaN	57.732643127441406
A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	12828.7197265625	13688.30078125	13754.1904296875	442.36846923828125	543.7684936523438	547.0349731445312	1406.8055419921875	1388.182373046875	1185.930908203125	2727.4169921875	2934.30322265625	2625.3994140625	5012.71240234375	4426.71630859375	4998.33984375	8198.4267578125	8172.8994140625	7784.7822265625	9773.279296875	10167.810546875	9652.9375	692.26123046875	751.1912841796875	711.5269165039062	15042.552734375	14972.3564453125	14636.3505859375	12897.2626953125	12832.9072265625	12959.0888671875	11251.248046875	10293.6982421875	10787.416015625	7171.33251953125	6878.69287109375	6512.359375	3905.906982421875	3693.9970703125	3415.155517578125	1521.7518310546875	3054.9658203125	1313.1380615234375
A0A024R7W5;A0A087WY31;A0A087X0Q1;Q7Z739	YTHDF3	15310.419921875	16865.333984375	16809.916015625	725.930908203125	730.3876342773438	786.7271118164062	2723.8916015625	2456.169677734375	2141.868896484375	5541.259765625	5029.75244140625	5383.884765625	11193.158203125	8960.8603515625	9606.10546875	14190.9013671875	12595.7119140625	13098.71484375	16478.46875	15703.7216796875	15791.517578125	618.0084838867188	792.063720703125	757.673095703125	14752.2763671875	18422.828125	17458.83203125	18631.8125	16642.38671875	19173.26953125	13420.0126953125	14345.5205078125	14370.857421875	9532.365234375	8504.0234375	9606.2734375	4471.94775390625	4376.06298828125	5871.76171875	2155.539794921875	1907.0872802734375	1751.547607421875
A0A024RA52;P25787	PSMA2	96509.875	96732.203125	96024.921875	5569.0078125	5885.83251953125	5703.1005859375	12023.509765625	11781.89453125	11735.6611328125	26865.8515625	26312.13671875	25449.291015625	45328.95703125	43802.11328125	43266.203125	69752.609375	68280.234375	66790.1640625	80661.828125	80526.4453125	79617.34375	3283.9345703125	4397.6357421875	3057.07421875	64368.7890625	65257.65625	62213.74609375	58088.80859375	55729.54296875	55336.234375	47888.20703125	46933.3828125	45018.1640625	31078.75390625	31734.5	31487.1171875	17277.34375	16597.0546875	16197.2060546875	6878.89208984375	6707.02490234375	6892.55224609375
A0A024RA87	SEPTIN7	1170.5738525390625	1785.988037109375	1587.7493896484375	113.3165512084961	56.477176666259766	96.00454711914062	239.68711853027344	161.79122924804688	198.74423217773438	265.90960693359375	173.47201538085938	190.23089599609375	827.62548828125	1090.3651123046875	1040.0264892578125	809.1040649414062	48.62975311279297	551.4962158203125	1073.5721435546875	755.0115356445312	591.866455078125	5.9463090896606445	51.20970153808594	84.98823547363281	3759.9384765625	2349.515380859375	2738.62841796875	1044.356689453125	1023.5139770507812	1441.6531982421875	1112.15380859375	880.0784301757812	917.7957153320312	1469.4244384765625	1012.2439575195312	1107.9569091796875	247.29452514648438	NaN	168.1639862060547	62.00307083129883	108.99118041992188	111.4928207397461
A0A024RBG1	NUDT4B	4133.3974609375	4312.29345703125	4078.658203125	387.73046875	325.85101318359375	473.44244384765625	703.2744750976562	760.2158203125	1002.1725463867188	1246.3560791015625	1467.5321044921875	1412.0880126953125	2294.68896484375	2159.2314453125	2229.7314453125	3457.1865234375	2653.8955078125	3320.204833984375	3540.4453125	3213.5732421875	3463.930908203125	110.819091796875	179.51974487304688	144.04347229003906	4019.5576171875	4430.97119140625	3921.307373046875	4796.76220703125	4455.359375	4066.353759765625	3703.2333984375	3574.04296875	3462.393310546875	2150.537109375	2738.34326171875	2242.3486328125	1144.287109375	972.8552856445312	1120.209716796875	443.9096374511719	439.4722900390625	268.73162841796875
A0A024RCG2;Q96BI1	SLC22A18	4080.493408203125	4058.5341796875	4549.966796875	201.78903198242188	237.45452880859375	239.28497314453125	596.2418212890625	494.8359375	509.68353271484375	1245.646484375	1218.4483642578125	1262.1824951171875	2034.8543701171875	1920.7662353515625	1813.8779296875	2845.47265625	3545.72802734375	3288.91259765625	3616.246337890625	3620.57421875	4255.76220703125	190.4862060546875	229.9940185546875	200.3643798828125	5884.017578125	5261.2275390625	5150.6884765625	5745.8505859375	6263.046875	5312.56201171875	3863.57373046875	4069.53955078125	4089.682861328125	2153.439208984375	2210.53466796875	2153.02294921875	1275.1790771484375	1423.8631591796875	1634.340087890625	468.8071594238281	349.0045166015625	569.0274047851562
A0A024RCM4;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379	BAG6	48661.890625	49634.66015625	47913.40234375	2822.61181640625	2980.0712890625	2972.59619140625	6937.53564453125	6837.712890625	6754.87744140625	14788.8251953125	14608.6953125	15047.080078125	26523.72265625	26694.1171875	26716.5859375	37645.484375	38329.5546875	37657.59375	45125.13671875	47064.328125	45627.58203125	2109.58837890625	1992.52197265625	2244.753662109375	44083.31640625	44267.265625	41331.19140625	42074.6953125	40567.11328125	39635.765625	32752.7109375	33325.9140625	33947.5859375	23823.04296875	24100.08203125	23390.990234375	12303.779296875	12366.806640625	11766.9951171875	4852.869140625	4551.9755859375	4949.24365234375
